X,Y,FID,LabelName,OpsName,Type,StreetNum,RoadName,RoadType,RoadSuffix,CampusCode,LGAName,LocalityNa,Postcode,VicgovRegi,State,ServiceNam
144.983398681570606,-37.80968063155256,1,East Melbourne Specialist Day Hospital,EAST MELBOURNE DAY HOSPITAL,PRIVATE,23,CLARENDON,STREET, ,8280,MELBOURNE, ,3002,NWMR,VIC, 
145.149300000993293,-37.951399999673185,2,Windsor Avenue Day Surgery,WINDSOR AVENUE DAY SURGERY,PRIVATE,17,WINDSOR,AVENUE, ,7050,GREATER DANDENONG, ,3171,SMR,VIC, 
145.344652703507478,-38.034580486941081,3,Hyperbaric Health Wound Centre Berwick,HYPERBARIC HEALTH - BERWICK,PRIVATE,3,GIBB,STREET, ,7100,CASEY, ,3806,SMR,VIC, 
143.832286087821274,-37.540552558923963,4,Ballarat Day Procedure Centre,BALLARAT DAY PROCEDURE CENTRE,PRIVATE,1117-1123,HOWITT,STREET, ,8430,BALLARAT, ,3355,Gram,VIC, 
145.143379256334299,-38.148188631165404,5,Bayside Day Procedure and Specialist Centre,BAYSIDE DAY PROCEDURE CENTRE,PRIVATE,141,CRANBOURNE,ROAD, ,7310,FRANKSTON, ,3199,SMR,VIC, 
144.261500001286095,-36.761899999742639,6,Bendigo Day Surgery,BENDIGO DAY SURGERY,PRIVATE,1-7,CHUM,STREET, ,8950,GREATER BENDIGO, ,3555,LMR,VIC, 
145.041233056096331,-37.920124647499854,7,Bentleigh Surgicentre,SURGICENTRE - BENTLEIGH,PRIVATE,157,JASPER,ROAD, ,8940,GLEN EIRA, ,3204,SMR,VIC, 
145.346518631688042,-38.033496270649181,8,Berwick Surgicentre,SURGICENTRE AND EYE -BERWICK,PRIVATE,22,LANGMORE,LANE, ,6240,CASEY, ,3806,SMR,VIC, 
144.991817088261627,-37.912559647268729,9,Brighton Plastic Surgery Centre,BRIGHTON PLASTIC SURGERY,PRIVATE,206,NEW,STREET, ,8980,BAYSIDE, ,3186,SMR,VIC, 
145.061878663672047,-37.692572759265587,10,Victorian Gut Centre,BUNDOORA ENDOSCOPY CENTRE,PRIVATE,119,PLENTY,ROAD, ,7580,WHITTLESEA, ,3083,NWMR,VIC, 
145.056802440515753,-37.960466975064442,11,Chesterville Day Hospital,CHESTERVILLE DAY HOSPITAL,PRIVATE,28,CHESTERVILLE,ROAD, ,7850,KINGSTON, ,3192,SMR,VIC, 
144.964771095450061,-37.745016702837987,12,Coburg Endoscopy Centre,COBURG ENDOSCOPY CENTRE,PRIVATE,15,MUNRO,STREET, ,8530,MORELAND, ,3058,NWMR,VIC, 
145.223300920147238,-37.974247407363947,13,Dandenong Eye Clinic & Day Surgery Centre,DANDENONG DAY SURGERY CENTRE,PRIVATE,1-3,FALKINER,CRESCENT, ,7770,GREATER DANDENONG, ,3175,SMR,VIC, 
145.017576356921126,-37.781101117591362,14,Darebin Endoscopy Services,DAREBIN ENDOSCOPY SERVICES,PRIVATE,42,STATION,STREET, ,7510,DAREBIN, ,3078,NWMR,VIC, 
145.107587928115862,-37.705328607422992,15,Diaverum Diamond Valley Dialysis Clinic,DIAVERUM - DIAMOND VALLEY,PRIVATE,15,GRIMSHAW,STREET, ,7380,BANYULE, ,3088,NWMR,VIC, 
144.939908272348077,-37.788678726922292,16,Diaverum North Melbourne Dialysis Clinic,DIAVERUM - NORTH MELBOURNE,PRIVATE,185,BOUNDARY,ROAD, ,6390,MELBOURNE, ,3051,NWMR,VIC, 
145.22750215965263,-37.819783893525717,17,Eastside Endoscopy Centre,EASTSIDE ENDOSCOPY CENTRE,PRIVATE,33,WANTIRNA,ROAD, ,7360,MAROONDAH, ,3134,EMR,VIC, 
144.923638185007974,-37.76579341177677,18,Essendon Private Clinic,ESSENDON DAY PROCEDURE CENTRE,PRIVATE,665,MOUNT ALEXANDER,ROAD, ,6180,MOONEE VALLEY, ,3039,NWMR,VIC, 
145.019214199886648,-37.900434711186548,19,Glen Eira Day Surgery,GLEN EIRA DAY SURGERY,PRIVATE,544,HAWTHORN,ROAD, ,8460,GLEN EIRA, ,3162,SMR,VIC, 
145.094025608349284,-37.858089255030578,20,Glen Iris Private,GLEN IRIS PRIVATE,PRIVATE,314,WARRIGAL,ROAD, ,8900,BOROONDARA, ,3146,EMR,VIC, 
145.060172603120947,-37.730491857344447,21,Heidelberg Endoscopy and Day Surgery Centre,HEIDELBERG ENDOSCOPY CENTRE,PRIVATE,177-179,NORTHERN,ROAD, ,7400,BANYULE, ,3081,NWMR,VIC, 
144.82848251398724,-37.86964791162314,22,Altona Endoscopy Centre,HOBSONS BAY ENDO - ALTONA,PRIVATE,3-5,SARGOOD,STREET, ,8270,HOBSONS BAY, ,3018,NWMR,VIC, 
144.68670000161336,-37.890500000439729,23,Werribee Endoscopy Centre,HOBSONS BAY ENDO - WERRIBEE,PRIVATE,179,PRINCES,HIGHWAY, ,7830,WYNDHAM, ,3030,NWMR,VIC, 
145.044899999892209,-37.767000000126345,24,Ivanhoe Endoscopy Centre,IVANHOE ENDOSCOPY CENTRE,PRIVATE,226,UPPER HEIDELBERG,ROAD, ,6410,BANYULE, ,3079,NWMR,VIC, 
144.978671592323451,-37.816765350649227,25,Jolimont Endoscopy Centre,JOLIMONT ENDOSCOPY CENTRE,PRIVATE,201,WELLINGTON,PARADE,S,7970,MELBOURNE, ,3002,NWMR,VIC, 
145.030500002066702,-37.851500000230516,26,Malvern Dialysis Clinic,MALVERN DIALYSIS CLINIC,PRIVATE,1133,MALVERN,ROAD, ,8960,STONNINGTON, ,3144,SMR,VIC, 
145.115199998363579,-37.773099999125208,27,Manningham Day Procedure Centre,MANNINGHAM DAY CENTRE,PRIVATE,503/200,HIGH,STREET, ,7140,MANNINGHAM, ,3107,EMR,VIC, 
145.030400001027175,-37.887799999754904,28,Melbourne Day Surgery Centre,MELBOURNE DAY SURGERY CENTRE,PRIVATE,961,GLEN HUNTLY,ROAD, ,6990,GLEN EIRA, ,3162,SMR,VIC, 
144.97909999612736,-37.844599998218285,29,Melbourne Endoscopy,MELBOURNE ENDOSCOPY CENTRE,PRIVATE,517,ST KILDA,ROAD, ,6960,MELBOURNE, ,3004,NWMR,VIC, 
144.363215184251743,-38.15107303104584,30,Monash IVF Geelong,MONASH IVF GEELONG,PRIVATE,73-79,LITTLE RYRIE,STREET, ,8200,GREATER GEELONG, ,3220,BSW,VIC, 
145.189700000181432,-37.967099997437401,31,Noble Park Endoscopy Centre,NOBLE PARK ENDOSCOPY CENTRE,PRIVATE,1304,HEATHERTON,ROAD, ,6680,GREATER DANDENONG, ,3174,SMR,VIC, 
144.909379608332216,-37.771154270783697,32,Northwest Day Hospital,NORTHWEST DAY HOSPITAL,PRIVATE,221,MARIBYRNONG,ROAD, ,8850,MOONEE VALLEY, ,3032,NWMR,VIC, 
144.998099998040971,-37.717599998161688,33,Reservoir Private Hospital Day Procedure Centre,RESERVOIR DAY PROCEDURE CENTRE,PRIVATE,73-75,PINE,STREET, ,6610,DAREBIN, ,3073,NWMR,VIC, 
144.883647464173208,-38.361838649839527,34,Rosebud SurgiCentre,SURGICENTRE - ROSEBUD,PRIVATE,1537,POINT NEPEAN,ROAD, ,7730,MORNINGTON PENINSULA, ,3940,SMR,VIC, 
144.940999999273316,-37.814499999405946,35,Specialist Surgicentre Docklands,SPECIALIST DOCKLANDS,PRIVATE,22,RAKAIA,WAY, ,7950,MELBOURNE, ,3008,NWMR,VIC, 
145.149599998706293,-37.949499997583018,36,Springvale Endoscopy Centre and Day Hospital,SPRINGVALE ENDOSCOPY,PRIVATE,20,BALMORAL,AVENUE, ,6900,GREATER DANDENONG, ,3171,SMR,VIC, 
144.779399997929204,-37.743999997740971,37,St Albans Endoscopy Centre,ST ALBANS ENDOSCOPY CENTRE,PRIVATE,328-330,STATION,ROAD, ,7171,BRIMBANK, ,3021,NWMR,VIC, 
144.98219999708175,-37.87310000037661,38,St Kilda Day Hospital,ST KILDA DAY HOSPITAL,PRIVATE,26A,DICKENS,STREET, ,7120,PORT PHILLIP, ,3184,SMR,VIC, 
145.039398791904063,-37.863653430867124,39,Stonnington Day Surgery,STONNINGTON DAY SURGERY,PRIVATE,253,WATTLETREE,ROAD, ,7260,STONNINGTON, ,3144,SMR,VIC, 
145.017829848092617,-37.870213150868679,40,Precision Ascend Rehabilitation Centre,BAYSIDE SURGERY CENTRE,PRIVATE,73,KOOYONG,ROAD, ,7180,GLEN EIRA, ,3161,SMR,VIC, 
