"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type Code","Feature Type","Longitude","Latitude","Place Id","Historical Information","Origin Language","Australian Indigenous Language","Anzac Related Name","Date First Recorded Day","Date First Recorded Month","Date First Recorded Year","Source","Author","Title","Date Published Day","Date Published Month","Date Published Year","Publisher","Place of Publication","Pages(s)","Editor","Chapter Title","Journal Name","Issue","Year","Newspaper","File Number","Site Owner","Page Title","Site Title","Url","Location","Type of Artefact","Cartographer","Scale","Informant","Tape Title","Tape Number","Municipal Name","Endorsed by Council","Council Minutes","Organisation Name","Endorsed by GPNAP"
"VIC","BANYULE CITY","115682","ABACUS CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.094404","-37.70326","115437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","YARRA CITY","115824","ACACIA FITZROY CRECHE","RECORDED","CHCA","CHILD CARE","144.980228","-37.802389","115579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MANNINGHAM CITY","115825","ACE CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.150708","-37.794954","115580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER DANDENONG CITY","115827","ACTIVE LEARNING CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.149261","-37.934598","115582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MOONEE VALLEY CITY","115832","AIRPORT DAY NURSERY","RECORDED","CHCA","CHILD CARE","144.883868","-37.721026","115587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MOONEE VALLEY CITY","115833","AIRPORT WEST CHILD CARE CO-OPERATIVE","RECORDED","CHCA","CHILD CARE","144.880287","-37.728306","115588","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MURRINDINDI SHIRE","118340","ALEXANDRA BABY CARE","RECORDED","CHCA","CHILD CARE","145.707799","-37.19355","118095","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MELBOURNE CITY","115843","ALFRED CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.981264","-37.846749","115598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BALLARAT CITY","118342","ALFREDTON CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","143.794812","-37.546281","118097","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","HOBSONS BAY CITY","115856","ALTONA MEADOWS CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.782677","-37.873035","115611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","HOBSONS BAY CITY","115859","ALTONA MEADOWS OSHC","RECORDED","CHCA","CHILD CARE","144.779573","-37.868108","115614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","HOBSONS BAY CITY","115860","ALTONA NORTH CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.84983","-37.842652","115615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","KNOX CITY","115863","AMAROO CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.284515","-37.878221","115618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","CASEY CITY","115866","ANACONDA CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.304902","-38.001623","115621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BRIMBANK CITY","115867","ANDERSON ROAD CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.827522","-37.78292","115622","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER SHEPPARTON CITY","118348","ANN STREET CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.359412","-36.391448","118103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER BENDIGO CITY","118349","ANNIE GALVIN CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.284024","-36.76605","118104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORNINGTON PENINSULA SHIRE","115871","ANNIE SAGE CHILD CARE","RECORDED","CHCA","CHILD CARE","145.170662","-38.231048","115626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORELAND CITY","115873","ANTONINE SISTERS CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.970249","-37.754894","115628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MOONEE VALLEY CITY","115874","ANTRIM DAY NURSERY","RECORDED","CHCA","CHILD CARE","144.908587","-37.754171","115629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","WHITEHORSE CITY","115877","AQUALINK BOX HILL CRECHE","RECORDED","CHCA","CHILD CARE","145.117787","-37.825083","115632","'Elected to Council 1973.  Mayor - City of Altona 1978 - 79 and 1986 - 87.'","","","","","","","Manuscript","Place Names Committee Files","Submission","26","5","1988","","","1","","","","","","","PNC file number 1098","","","","","","","","","","","","","","","",""
"VIC","WHITEHORSE CITY","115878","AQUALINK NUNAWADING CRECHE","RECORDED","CHCA","CHILD CARE","145.174422","-37.837541","115633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MANNINGHAM CITY","115879","AQUARENA CHILD CARE","RECORDED","CHCA","CHILD CARE","145.126265","-37.774289","115634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","WARRNAMBOOL CITY","118353","AQUAZONE CRECHE","RECORDED","CHCA","CHILD CARE","142.487696","-38.373924","118108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
