lat,long,postcode,name,address
-37.70326,145.094404,3088,ABACUS CHILD CARE CENTRE,"3, William Street, Apollo Parkways, Greensborough"
-37.802389,144.980228,3065,ACACIA FITZROY CRECHE,187 Napier Street
-37.794954,145.150708,3109,ACE CHILD CARE CENTRE,"Renshaw Street, East Doncaster Junction, Doncaster East"
-37.934598,145.149261,3171,ACTIVE LEARNING CHILD CARE CENTRE,"Clive Street, Springvale"
-37.721026,144.883868,3043,AIRPORT DAY NURSERY,"McIntosh Street, Airport West"
-37.728306,144.880287,3043,AIRPORT WEST CHILD CARE CO-OPERATIVE,"Clydesdale Road, Airport West"
-37.19355,145.707799,3714,ALEXANDRA BABY CARE,"Coster Street, Alexandra, Shire of Murrindindi"
-37.846749,144.981264,3004,ALFRED CHILD CARE CENTRE,"Alfred Hospital, Alfred Lane, Prahran"
-37.546281,143.794812,3358,ALFREDTON CHILD CARE CENTRE,"Elaine Avenue, Alfredton, Ballarat"
-37.873035,144.782677,3028,ALTONA MEADOWS CHILD CARE CENTRE,"Queen Street, Altona Meadows"
-37.868108,144.779573,3028,ALTONA MEADOWS OSHC,"Nicholson Street, Altona Meadows"
-37.842652,144.84983,3025,ALTONA NORTH CHILD CARE CENTRE,"Ronald Avenue, Altona North"
-37.878221,145.284515,3156,AMAROO CHILD CARE CENTRE,"59, Dorset Road, Ferntree Gully"
-38.001623,145.304902,3805,ANACONDA CHILD CARE CENTRE,"102, Anaconda Road, Fountain Gate, Narre Warren, Harkaway"
-37.78292,144.827522,3020,ANDERSON ROAD CHILD CARE CENTRE,"145, Anderson Road, Sunshine"
-36.391448,145.359412,3629,ANN STREET CHILD CARE CENTRE,"Ann Street, Mooroopna"
-36.76605,144.284024,3550,ANNIE GALVIN CHILD CARE CENTRE,"Gladstone Street, Quarry Hill, Bendigo"
-38.231048,145.170662,3912,ANNIE SAGE CHILD CARE,"Blacks Camp Road, Somerville"
-37.754894,144.970249,3058,ANTONINE SISTERS CHILD CARE CENTRE,"Barrow Street, Coburg"
-37.754171,144.908587,3040,ANTRIM DAY NURSERY,"Lincoln Road, Essendon"
-37.825083,145.117787,3128,AQUALINK BOX HILL CRECHE,"Surrey Drive, Box Hill"
-37.837541,145.174422,3131,AQUALINK NUNAWADING CRECHE,"Fraser Place, Forest Hill"
-37.774289,145.126265,3107,AQUARENA CHILD CARE,"Williamsons Road, Macedon Square, Doncaster"
-38.373924,142.487696,3280,AQUAZONE CRECHE,"Queens Road, Warrnambool"
-37.276142,142.932061,3377,ARARAT CHILD CARE CENTRE,"McNeill Street, Ararat"
-37.803484,145.050964,3102,ARGYLE ROAD CHILD CARE CENTRE,"Argyle Road, Willsmere, Kew"
-37.85661,145.027787,3143,ARMADALE CRECHE,"1208, High Street, Armadale"
-37.831319,145.293718,3155,ARRABRI PLAYGROUP,"Allambanan Drive, Bayswater North"
-37.661115,144.883972,3049,ATTWOOD CHILD CARE CENTRE AND KINDERGARTEN,"Mickleham Road, Attwood"
-37.821567,145.046376,3122,AUBURN KINDERGARTEN & CHILD CARE CENTRE,"Station Street, Hawthorn East"
-37.757305,145.059862,3084,AUSTIN CHILD CARE CENTRE,"Austin Hospital, Bell - Banksia Link, Heidelberg"
-37.665145,144.436135,3340,BACCHUS MARSH CHILD CARE & KINDERGARTEN CENTRE,"6, Clifton Drive, Bacchus Marsh"
-37.684437,144.432303,3340,BACCHUS MARSH LEISURE CENTRE CRECHE,"Griffith Street, Maddingley, Bacchus Marsh"
-36.368129,145.414667,3629,BALACLAVA ROAD CHILD CARE CENTRE,"2, Verney Road, Shepparton"
-37.54059,143.859973,3358,BALLARAT CHILD CARE CO-OP,"1007, Armstrong Street North, Soldiers Hill, Ballarat"
-37.558283,143.857262,3358,BALLARAT CITY OCCASIONAL CHILD CARE CENTRE,"Market Street, Ballarat Central, Ballarat"
-37.249418,141.841182,3407,BALMORAL CHILD CARE,"Bell Street, Balmoral"
-37.722285,145.070553,3087,BANYULE NETBALL STADIUM CHILD CARE CENTRE,"Somers Avenue, Macleod"
-36.371652,146.695479,3747,BEECHWORTH COMMUNITY CHILD CARE CENTRE,"Kurrajong Way, Beechworth"
-37.686281,144.738243,3037,BELLEVUE PLAZA PLAY AND LEARN CHILD CARE CENTRE,"Wattle Valley Drive, Bellevue Hill, Hillside"
-36.754802,144.281983,3550,BENDIGO CRECHE & DAY NURSERY,"Park Road, Bendigo, City of Greater Bendigo"
-36.765726,144.284252,3550,BENDIGO OCCASIONAL CHILD CARE CENTRE,"Gladstone Street, Quarry Hill, Bendigo"
-37.922534,145.039269,3204,BENTLEIGH FAMILY & CHILD CARE CO-OP,"Brewer Road, Bentleigh"
-38.246797,145.048712,3934,BENTONS SQUARE OCCASIONAL CHILD CARE AND PRESCHOOL,"Bentons Road, Mount Martha, Mornington"
-38.246797,145.048712,3934,BENTONS SQUARE VACATION CARE,"Bentons Road, Mount Martha, Mornington"
-36.131369,144.750656,3564,BERRIMBA CHILD CARE,"Hare Street, Echuca"
-36.345376,146.297559,3677,BILLY LIDS CHILD CARE CENTRE,"Peacock Place, Wangaratta"
-37.756357,144.970737,3058,BINDI CHILD CARE & KINDERGARTEN,"Barrow Street, Moreland Road, Coburg"
-37.862647,145.233067,3152,BIRCHFIELD CRESCENT CHILD CARE CENTRE,"39, Birchfield Crescent, Wantirna"
-38.43131,145.821087,3950,BIRRALEE CHILD CARE CENTRE,"Broughton Place, Korumburra"
-37.860371,145.283752,3155,BORONIA BUSY BODIES CRECHE,"Orchid Avenue, Boronia"
-37.805692,145.13334,3129,BOX HILL EARLY LEARNING CHILD CARE CENTRE & KINDERGARTEN,"Dorking Road, Kerrimuir, Box Hill North"
-37.92074,145.087358,3167,BRIGHT BEGINNINGS CHILD CARE CENTRE,"117-119, Golf Road, Oakleigh South"
-37.929516,144.993598,3187,BRIGHTON BEACH CHILD CARE CENTRE,"New Street, Hampton"
-37.907584,145.076973,3166,BRINE STREET CHILD CARE CENTRE,"Brine Street, Hughesdale"
-37.772248,144.966181,3056,BRUNSWICK CRECHE & DAY NURSERY,"82, Glenlyon Road, Brunswick"
-38.245712,142.919332,3264,BUCKLE MY SHOE,"McKinnon Street, Terang"
-37.759171,145.093991,3105,BULLEEN TEMPLESTOWE BASKETBALL CLUB INC CRECHE,"Almerta Place, Bulleen"
-38.050072,145.12289,3196,BUNNYKINS CHILD CARE CENTRE,"Blantyre Avenue, Chelsea"
-37.876136,145.108365,3148,BURTON STREET (CENTRE 2),"Burton Street, Jordanville, Chadstone"
-37.779329,145.325538,3140,BUSY KIDS CHILD CARE CENTRE,"Croydondale Drive, Rolling Hills, Mooroolbark, Lilydale"
-37.759031,144.788902,3021,CAIRNLEA KINDY AND CHILD CARE CENTRE,"Wattle Grove Road, Cairnlea"
-37.833,145.06373,3124,CAMBERWELL KINDERGARTEN AND CHILD CARE CENTRE,"25, Trafalgar Road, Camberwell"
-37.996689,145.207775,3175,CANBERRA AVENUE CHILD CARE CENTRE,"Canberra Avenue, Dandenong"
-38.123227,145.148738,3198,CANDLEBARK CHILD CARE CENTRE,"Candlebark Crescent, Frankston North, Frankston"
-37.821084,145.070087,3124,CANTERBURY CHILD CARE CENTRE,"Gwenda Avenue, Canterbury"
