State,Municipality,Name Id,Place Name,Place Name Status,Feature Type Code,Feature Type,Longitude,Latitude,Place Id,Historical Information,Origin Language,Australian Indigenous Language,Anzac Related Name,Date First Recorded Day,Date First Recorded Month,Date First Recorded Year,Source,Author,Title,Date Published Day,Date Published Month,Date Published Year,Publisher,Place of Publication,Pages(s),Editor,Chapter Title,Journal Name,Issue,Year,Newspaper,File Number,Site Owner,Page Title,Site Title,Url,Location,Type of Artefact,Cartographer,Scale,Informant,Tape Title,Tape Number,Municipal Name,Endorsed by Council,Council Minutes,Organisation Name,Endorsed by GPNAP
VIC,CASEY CITY,115678,123KIDS,RECORDED,KIND,KINDERGARTEN,145.266534,-38.037796,115433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,BOROONDARA CITY,115679,3 APPLES CHILDCARE CENTRE & KINDERGARTEN,RECORDED,KIND,KINDERGARTEN,145.081836,-37.811354,115434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,HOBSONS BAY CITY,115680,5 STAR CHILDCARE & EARLY LEARNING CENTRE,RECORDED,KIND,KINDERGARTEN,144.825369,-37.831777,115435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,CENTRAL GOLDFIELDS SHIRE,118295,A G LEECH KINDERGARTEN,RECORDED,KIND,KINDERGARTEN,143.731878,-37.051792,118050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,HUME CITY,115681,A STEP AHEAD EARLY LEARNING CENTRE,RECORDED,KIND,KINDERGARTEN,144.715655,-37.561997,115436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,GLEN EIRA CITY,115821,ABELES LIBERMAN PRESCHOOL,RECORDED,KIND,KINDERGARTEN,145.011624,-37.871206,115576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,KINGSTON CITY,115822,ACACIA AVENUE PRESCHOOL,RECORDED,KIND,KINDERGARTEN,145.086776,-37.982668,115577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,YARRA CITY,115823,ACACIA CHILDRENS CENTRE,RECORDED,KIND,KINDERGARTEN,144.997483,-37.814672,115578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,GREATER DANDENONG CITY,115828,ACTIVE LEARNING CHILDCARE: BALMORAL AVENUE,RECORDED,KIND,KINDERGARTEN,145.144315,-37.94848,115583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,PORT PHILLIP CITY,115829,ADA MARY ABECKETT CHILDRENS CENTRE INC,RECORDED,KIND,KINDERGARTEN,144.919549,-37.838788,115584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
